"AspectID"	"GroupID"	"HostKey"	"MaxMark"	"Description"	"VerificationCommands"	"ExpectedResult"	"ExpectedAttributes"	"WSOS"	"OriginalAspectID"
"A1.01"	"A1"	"SHA-CL01"	"0.20"	"Имена всех обязательных B3-хостов корректны"	"Get-ADComputer и локальный hostname"	"Имена соответствуют заданию B3"	"All required hostnames match the B3 task. Non-B3 hosts are not used to replace required hosts."	"3"	"A1.01"
"A1.02"	"A1"	"SHA-RTR01"	"0.30"	"IPv4-интерфейсы SHA-RTR01 корректны"	"Get-NetIPAddress -AddressFamily IPv4"	"Присутствуют WAN, DMZ, Internal и Client IP"	"SHA-RTR01 has 198.18.120.10, 10.23.10.1, 10.23.20.1 and 10.23.30.1. BJ-RTR01 has 198.18.121.10, 10.33.20.1 and 10.33.30.1."	"3"	"A1.02"
"A1.03"	"A1"	"SHA-FS01"	"0.30"	"IP, gateway и DNS серверов корректны"	"Get-NetIPConfiguration; Get-DnsClientServerAddress"	"Настройки SHA-FS01 соответствуют плану"	"Server IP addresses, default gateways and DNS client order match the task. BJ-DC02 uses SHA-DC01 before promotion and uses itself as preferred DNS after promotion."	"4"	"A1.03"
"A1.04"	"A1"	"SHA-RTR01"	"0.25"	"Маршрутизация и forwarding SHA-RTR01"	"Get-NetIPInterface; Get-NetRoute"	"Forwarding enabled, маршруты через 198.18.120.1"	"IP forwarding is enabled and required Beijing/Internet routes use next hop 198.18.120.1. NAT, VPN and proxy are not used for B3 routing."	"3"	"A1.04"
"A1.05"	"A1"	"BJ-RTR01"	"0.25"	"Маршрутизация и forwarding BJ-RTR01"	"Get-NetIPInterface; Get-NetRoute"	"Forwarding enabled, маршруты через 198.18.121.1"	"IP forwarding is enabled and required Shanghai/Internet routes use next hop 198.18.121.1. NAT, VPN and proxy are not used for B3 routing."	"3"	"A1.05"
"A1.06"	"A1"	"SHA-DC01"	"0.45"	"Лес nb-b3.local создан на SHA-DC01"	"Get-ADDomain; Get-ADForest; Get-ADDomainController"	"Domain nb-b3.local, NetBIOS NBB3"	"Domain is nb-b3.local, NetBIOS name is NBB3, SHA-DC01 is a domain controller and DNS server."	"4"	"A1.06"
"A1.07"	"A1"	"BJ-DC02"	"0.45"	"BJ-DC02 — дополнительный GC с репликацией"	"Get-ADDomainController; repadmin; Get-SmbShare"	"GC, SYSVOL/NETLOGON и репликация исправны"	"BJ-DC02 is an additional domain controller, Global Catalog is enabled, SYSVOL and NETLOGON exist, and replication has no blocking errors."	"4"	"A1.07"
"A1.08"	"A1"	"SHA-DC01"	"0.30"	"DNS forward/reverse zones присутствуют"	"Get-DnsServerZone"	"AD-integrated forward и семь reverse zones"	"Forward zone nb-b3.local is AD-integrated and replicated. Reverse zones exist for 10.23.10.0/24, 10.23.20.0/24, 10.23.30.0/24, 10.33.20.0/24, 10.33.30.0/24, 198.18.120.0/24 and 198.18.121.0/24."	"4"	"A1.08"
"A1.09"	"A1"	"SHA-DC01"	"0.30"	"DNS A/CNAME записи разрешаются"	"Resolve-DnsName"	"Шесть A и два CNAME корректны"	"All required A records point to the specified IP addresses. CNAME files points to sha-fs01.nb-b3.local and branch-files points to bj-srv01.nb-b3.local."	"4"	"A1.09"
"A1.10"	"A1"	"SHA-DC01"	"0.20"	"DNS PTR записи разрешаются"	"Resolve-DnsName для IP"	"Требуемые PTR существуют"	"Required PTR records exist and resolve to the expected hostnames. Missing PTR for unused or non-assessed hosts must not be penalized."	"4"	"A1.10"
"A1.11"	"A1"	"SHA-FS01"	"0.25"	"Shanghai DHCP scope и options корректны"	"Get-DhcpServerv4Scope/OptionValue/ExclusionRange"	"Диапазон, exclusion и options соответствуют заданию"	"Scope Shanghai-ClientNet uses 10.23.30.0/24, lease range 10.23.30.100-200, exclusion 100-119, gateway 10.23.30.1, DNS 10.23.20.10/10.33.20.10 and suffix nb-b3.local."	"4"	"A1.11"
"A1.12"	"A1"	"BJ-SRV01"	"0.25"	"Beijing DHCP scope и options корректны"	"Get-DhcpServerv4Scope/OptionValue/ExclusionRange"	"Диапазон, exclusion и options соответствуют заданию"	"Scope Beijing-ClientNet uses 10.33.30.0/24, lease range 10.33.30.100-200, exclusion 100-119, gateway 10.33.30.1, DNS 10.33.20.10/10.23.20.10 and suffix nb-b3.local."	"4"	"A1.12"
"A1.13"	"A1"	"SHA-CL01"	"0.25"	"DHCP authorization, relay и leases работают"	"Get-DhcpServerInDC; ipconfig /all"	"Оба DHCP авторизованы, клиент получил корректный lease"	"Both DHCP servers are authorized. SHA-CL01 receives 10.23.30.120-200; BJ-CL01 receives 10.33.30.120-200 with correct gateway, DNS and suffix."	"4"	"A1.13"
"A1.14"	"A1"	"SHA-DC01"	"0.25"	"OU и размещение компьютеров корректны"	"Get-ADOrganizationalUnit; Get-ADComputer"	"Требуемые OU и placement существуют"	"Required OUs exist. SHA-FS01 and BJ-SRV01 are under their Servers OUs; SHA-CL01 and BJ-CL01 are under their Workstations OUs."	"4"	"A1.14"
"A1.15"	"A1"	"SHA-CL01"	"0.25"	"Обязательные узлы введены в домен"	"Get-CimInstance Win32_ComputerSystem; Get-ADComputer"	"Серверы и клиенты в nb-b3.local"	"SHA-FS01, BJ-SRV01, SHA-CL01 and BJ-CL01 are joined to nb-b3.local. Non-storage DMZ hosts are not required for B3."	"4"	"A1.15"
"A1.16"	"A1"	"SHA-CL01"	"0.25"	"PowerShell Remoting работает"	"Test-WSMan для четырёх серверов"	"Все четыре endpoint отвечают"	"PowerShell Remoting works for the required domain-joined servers. This validates remote management readiness without requiring a specific RSAT console."	"4"	"A1.16"
"A1.17"	"A1"	"BJ-CL01"	"0.25"	"Cross-site service reachability работает"	"Resolve-DnsName; Test-NetConnection -Port 445"	"DNS и SMB доступны к обоим сайтам"	"Firewall configuration permits required B3 services: DNS, DHCP, AD/replication, SMB, DFS/DFSR and WinRM. Do not require unrelated ports that are not used by the task."	"3"	"A1.17"
"A1.18"	"A1"	"SHA-CL01"	"0.25"	"Firewall и foundation services готовы"	"DNS, SMB, DFS и WinRM functional checks"	"Требуемые B3 services доступны без проверки посторонних портов"	"Clients can reach required domain and file service endpoints across sites. ICMP alone is not sufficient; service-based reachability is accepted."	"3"	"A1.18"
"B1.01"	"B1"	"SHA-FS01"	"0.45"	"SHA-FS01 volume E подготовлен"	"Get-Disk; Get-Partition; Get-Volume E"	"80GB GPT NTFS E: SH-DATA"	"Correct additional 80 GB disk is initialized as GPT, formatted NTFS, mounted as E: and labelled SH-DATA."	"4"	"B1.01"
"B1.02"	"B1"	"BJ-SRV01"	"0.35"	"BJ-SRV01 volume E подготовлен"	"Get-Disk; Get-Partition; Get-Volume E"	"80GB GPT NTFS E: BJ-DATA"	"Correct additional 80 GB disk is initialized as GPT, formatted NTFS, mounted as E: and labelled BJ-DATA."	"4"	"B1.02"
