Criterion	AspectID	Subsection	Description	Requirement	MaxMark	HowToMark
A	A1	Physical baseline	Физическая топология и назначение интерфейсов сохранены.	Все обязательные links подключены к интерфейсам, указанным на физической схеме; рабочие interfaces находятся up/up либо connected.	0.2	Выполнить `show interfaces description`, `show ip interface brief` и на switches `show interfaces status`. Сопоставить со схемой. Начислить 0,20 × число корректных links / общее число обязательных links.
A	A2	WAN addressing	Преднастроенная IPv4 WAN-адресация не изменена.	IR1 G0/3 — 203.0.113.34/30; IR2 G0/3 — 203.0.113.38/30; IR3 G0/3 — 203.0.113.42/30; BR1 G0/0 — 203.0.113.46/30; BR2 G0/0 — 203.0.113.50/30.	0.2	На пяти customer edge выполнить `show ip interface brief`. Начислить по 0,04 за каждый корректный WAN interface.
A	A3	IPv4 Loopback	IPv4 Loopback0 соответствует таблице задания.	Loopback0 IR1, IR2, CR1, CR2, DS1, DS2, IR3, DS3, DS4, BR1 и BR2 имеет заданный /32 address и находится up/up.	0.2	Выполнить `show ip interface brief | include Loopback0`. Сверить 11 адресов с заданием. Начислить 0,20 × число корректных Loopback0 / 11.
A	A4	Internal IPv4 addressing	Преднастроенная адресация внутренних routed links сохранена.	Все 13 внутренних /30 links соответствуют таблице задания; перенумерация отсутствует.	0.2	Выполнить `show ip interface brief` на IR/CR/DS. Начислить 0,20 × число корректно адресованных сторон links / 26.
A	A5	L2/FHRP baseline	Преднастроенные VLAN, trunks, MST и HSRP остаются работоспособными.	Четыре подсистемы baseline — VLAN, trunks, MST и HSRP — соответствуют C2 baseline; VIP доступны.	0.2	Проверить `show vlan brief`, `show interfaces trunk`, `show spanning-tree mst` и `show standby brief`, затем ping всех VIP. Начислить по 0,05 за каждую полностью работоспособную подсистему.
A	A6	Service baseline	Преднастроенные DHCP relay, ACL/NAT и telemetry не нарушены.	Три группы функций работают: 1) DHCP relay; 2) ACL и NAT; 3) NTP, Syslog, SNMPv3 и NetFlow.	0.15	Проверить helper addresses и DHCP, `show access-lists`/`show ip nat statistics`, затем NTP/Syslog/SNMPv3/NetFlow. Начислить по 0,05 за каждую полностью работоспособную группу.
A	A7	Forbidden workarounds	Отсутствуют запрещенные обходные решения.	Нет PBR, tunnel interfaces, изменения ISP1 и дополнительных static routes. Разрешены только public/branch Null0 routes и floating defaults, указанные в задании.	0.25	Выполнить `show ip policy`, `show interfaces tunnel`, `show ip route static`. После F2/F4 проверить активные floating defaults. Для выявления неактивных/лишних static routes допускается единственная конфигурационная проверка: `show startup-config | include ^ip route`. Список должен содержать только разрешенные routes. Конфигурацию ISP1 сравнить с clean snapshot.
A	A8	Configuration persistence	Итоговые конфигурации сохранены, временные отказы не оставлены.	Startup configuration соответствует рабочему состоянию; обязательные interfaces и BGP neighbors восстановлены.	0.1	Выполнить `show archive config differences nvram:startup-config system:running-config`, `show ip interface brief` и BGP summaries. Существенных различий и оставленных shutdown быть не должно.
B	B1	OSPF process	OSPF process 30 настроен на всех требуемых устройствах.	OSPFv2 process 30 работает на IR1, IR2, CR1, CR2, DS1, DS2 и transit interface IR3 G0/2.	0.25	На семи устройствах выполнить `show ip ospf | include Routing Process`. Начислить 0,25 × число корректных устройств / 7.
B	B2	Router ID	OSPF router-id равен IPv4 Loopback0.	Router ID каждого участника OSPF соответствует таблице Loopback0.	0.25	Выполнить `show ip ospf | include Router ID` и сверить с Loopback0. Начислить пропорционально по 7 устройствам.
