No	AspectID	Subsection	Description	Requirement	MaxMark	Type	HowToMark
1	A1	Physical baseline	Физическая топология и обязательные interfaces сохранены.	Все links, указанные на опубликованной схеме, подключены к правильным interfaces; обязательные interfaces находятся up/up либо connected.	0.2	M	Выполнить `show interfaces description`, `show ip interface brief` и на switches `show interfaces status`. Начислить 0,20 × число корректных обязательных links / общее число links.
2	A2	IR2–IR3 isolation	Прямой physical link IR2–IR3 не используется.	IR2 G0/4 и IR3 G0/2 administratively down; link отсутствует в OSPF/EIGRP, не используется как tunnel source, static next-hop или forwarding path.	0.2	M	На IR2/IR3 выполнить `show ip interface brief`, `show ip ospf interface brief`, `show ip eigrp interfaces` и `show ip route 10.100.0.40 255.255.255.252`. Оба interfaces должны быть administratively down; route/protocol participation отсутствует.
3	A3	Underlay eBGP	Все customer edge имеют рабочую eBGP session с ISP1.	IR1, IR2, IR3, BR1 и BR2: eBGP state Established и получен exact default route.	0.2	M	На пяти routers выполнить `show bgp ipv4 unicast summary` и `show ip route 0.0.0.0`. Начислить по 0,04 за router при Established и наличии BGP default.
4	A4	NBMA reachability	Underlay обеспечивает достижимость всех overlay NBMA addresses.	С каждого overlay router доступны WAN addresses обоих hubs и трех spokes.	0.2	M	Выполнить source ping с каждого edge ко всем четырем удаленным NBMA addresses. Начислить 0,20 × число успешных проверок / 20.
5	A5	Underlay isolation	ISP1 не переносит private site summaries.	На customer edges отсутствуют BGP routes 10.100.0.0/16–10.103.0.0/16; эти prefixes распространяются только overlay routing.	0.2	M	На IR1/IR2/IR3/BR1/BR2 выполнить `show bgp ipv4 unicast` и `show ip route bgp`. Private site summaries не должны иметь BGP source.
6	A6	Local OSPF baseline	Преднастроенный OSPF process 40 и local summaries сохранены.	Существующие OSPF interfaces, areas, costs, passive policy и summarization не изменены; HQ формирует 10.100.0.0/16, DC — 10.101.0.0/16.	0.2	M	Проверить `show ip ospf interface brief`, `show ip ospf neighbor`, `show ip ospf database summary` и local route tables. Начислить по 0,10 за полностью корректный HQ и DC OSPF domain.
7	A7	L2/FHRP/DHCP baseline	Преднастроенные L2/FHRP и DHCP relay остаются работоспособными.	Пять независимых функций сохранены: VLAN, trunks, MST, HSRP и DHCP relay. Telemetry оценивается только в H6/H7.	0.2	M	Проверить `show vlan brief`, `show interfaces trunk`, `show spanning-tree mst`, `show standby brief` и DHCP lease/relay. Начислить по 0,04 за каждую полностью работоспособную функцию.
8	A8	Persistence / forbidden workarounds	Конфигурации сохранены; запрещенные PBR, дополнительные tunnels и participant-added static routes отсутствуют.	IR2–IR3 link остается down; отсутствуют `ip policy`, дополнительные Tunnel interfaces и новые `ip route`, которых нет в clean snapshot. EIGRP summary discard routes, созданные самим протоколом, static routes не считаются.	0.1	M	Выполнить `show ip policy`, `show ip interface brief | include Tunnel`, `show ip route static` и `show archive config differences nvram:startup-config system:running-config`. Для inactive static routes выполнить точечное сравнение `show startup-config | include ^ip route` с clean snapshot. Любая дополнительная participant-created static route означает несоответствие.
9	B1	Tunnel100 hub	IR1 Tunnel100 имеет правильный тип и базовые параметры.	mGRE; 172.20.100.1/24; source G0/3; tunnel key 100; NHRP network-id 4100.	0.25	M	На IR1 выполнить `show interfaces Tunnel100`, `show tunnel` либо поддерживаемый tunnel detail и `show ip nhrp`. Проверить up/up, multipoint GRE, source, key/network-id и IP address.
10	B2	Tunnel100 spokes	IR3, BR1 и BR2 Tunnel100 имеют требуемые addresses и base parameters.	IR3 .13, BR1 .11, BR2 .12 в 172.20.100.0/24; mGRE; source local WAN; key100; network-id4100.	0.25	M	На трех spokes выполнить `show ip interface brief`, tunnel detail и `show ip nhrp`. Начислить по 0,0833 за полностью корректный spoke.
