HostKey	HostRole	AspectID	TaskRef	Requirement	VerificationCommands	ExpectedResult	MaxMark
SHA-RTR01	Routing only, DHCP Relay for Shanghai Client	SHA-RTR01-01	Task 1	Hostname is SHA-RTR01 and all required interfaces are configured with correct IPs: WAN 198.18.140.10/24, DMZ 10.24.10.1/24, Internal 10.24.20.1/24, Client 10.24.30.1/24.	Run locally: hostname; Get-NetIPConfiguration; Get-NetIPAddress -AddressFamily IPv4	Hostname and interface IPs match the addressing plan. No missing or swapped corporate interfaces.	0.35
SHA-RTR01	Routing only, DHCP Relay for Shanghai Client	SHA-RTR01-02	Task 1	IP forwarding/routing service is enabled for routing between Shanghai subnets and the WAN.	Run locally: Get-NetIPInterface | Select InterfaceAlias,Forwarding; Get-Service RemoteAccess	Forwarding is enabled on routing interfaces; routing service is present/running as configured for the solution.	0.20
SHA-RTR01	Routing only, DHCP Relay for Shanghai Client	SHA-RTR01-03	Task 1	Static routes to 10.34.20.0/24, 10.34.30.0/24 and 198.18.201.0/24 use next-hop 198.18.140.1.	Run locally: route print; Get-NetRoute -AddressFamily IPv4	Routes exist with gateway 198.18.140.1 and correct prefixes. No unrelated route is used to bypass later firewall requirements.	0.30
SHA-RTR01	Routing only, DHCP Relay for Shanghai Client	SHA-RTR01-04	Task 4	DHCP Relay is configured for Shanghai Client network 10.24.30.0/24 to DHCP server 10.24.20.10.	Run locally: inspect RRAS/DHCP Relay settings; confirm relay agent/server address by GUI or netsh/RRAS tools.	DHCP requests from SHA-CL01 can reach SHA-DC01; relay target is 10.24.20.10.	0.30
SHA-RTR01	Routing only, DHCP Relay for Shanghai Client	SHA-RTR01-05	Task 1	NAT, VPN and proxy are not configured as part of B4 on SHA-RTR01.	Run locally: inspect RRAS roles/features and NAT configuration.	Router performs routing and DHCP relay only. No NAT/VPN/proxy is used to satisfy validation.	0.15
SHA-RTR01	Routing only, DHCP Relay for Shanghai Client	SHA-RTR01-06	Task 1	Basic connectivity from SHA-RTR01 to Beijing routed networks works without changing transport/validation nodes.	Run locally: Test-NetConnection 10.34.20.10; Test-NetConnection 10.34.30.1	Beijing DC and Beijing client gateway are reachable through the specified transport path.	0.20
BJ-RTR01	Routing only, DHCP Relay for Beijing Client	BJ-RTR01-01	Task 1	Hostname is BJ-RTR01 and all required interfaces are configured with correct IPs: WAN 198.18.141.10/24, Internal 10.34.20.1/24, Client 10.34.30.1/24.	Run locally: hostname; Get-NetIPConfiguration; Get-NetIPAddress -AddressFamily IPv4	Hostname and interface IPs match the addressing plan. No missing or swapped corporate interfaces.	0.30
BJ-RTR01	Routing only, DHCP Relay for Beijing Client	BJ-RTR01-02	Task 1	IP forwarding/routing service is enabled for routing between Beijing subnets and the WAN.	Run locally: Get-NetIPInterface | Select InterfaceAlias,Forwarding; inspect RRAS/routing state.	Forwarding is enabled on routing interfaces and the server functions as a router.	0.20
BJ-RTR01	Routing only, DHCP Relay for Beijing Client	BJ-RTR01-03	Task 1	Static routes to 10.24.10.0/24, 10.24.20.0/24, 10.24.30.0/24 and 198.18.200.0/24 use next-hop 198.18.141.1.	Run locally: route print; Get-NetRoute -AddressFamily IPv4	Routes exist with gateway 198.18.141.1 and correct prefixes.	0.25
BJ-RTR01	Routing only, DHCP Relay for Beijing Client	BJ-RTR01-04	Task 4	DHCP Relay is configured for Beijing Client network 10.34.30.0/24 to DHCP server 10.34.20.10.	Run locally: inspect RRAS/DHCP Relay settings; confirm relay agent/server address by GUI or netsh/RRAS tools.	DHCP requests from BJ-CL01 can reach BJ-DC02; relay target is 10.34.20.10.	0.30
BJ-RTR01	Routing only, DHCP Relay for Beijing Client	BJ-RTR01-05	Task 1	NAT, VPN and proxy are not configured as part of B4 on BJ-RTR01.	Run locally: inspect RRAS roles/features and NAT configuration.	Router performs routing and DHCP relay only. No NAT/VPN/proxy is used to satisfy validation.	0.10
BJ-RTR01	Routing only, DHCP Relay for Beijing Client	BJ-RTR01-06	Task 1	Basic connectivity from BJ-RTR01 to Shanghai routed networks works without changing transport/validation nodes.	Run locally: Test-NetConnection 10.24.20.10; Test-NetConnection 10.24.30.1	Shanghai DC and Shanghai client gateway are reachable through the specified transport path.	0.10
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-01	Tasks 1-2	Hostname, static IP, gateway and DNS client settings are correct for SHA-DC01: 10.24.20.10/24, gateway 10.24.20.1, DNS includes 10.24.20.10 and 10.34.20.10 after domain build.	Run locally: hostname; Get-NetIPConfiguration	Network identity matches the plan and the DC can resolve nb-b4.local resources.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-02	Task 2	A new AD forest nb-b4.local with NetBIOS name NBB4 is created on SHA-DC01.	Run locally: Get-ADDomain; Get-ADForest	Domain DNSRoot = nb-b4.local, NetBIOSName = NBB4, SHA-DC01 is a domain controller.	0.30
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-03	Task 2	SHA-DC01 is Global Catalog and advertises required DC services.	Run locally: Get-ADDomainController SHA-DC01; dcdiag /test:Advertising	GC = True and Advertising test is passed or equivalent evidence is shown.	0.25
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-04	Task 2	SYSVOL and NETLOGON shares are available on SHA-DC01.	Run locally: net share	SYSVOL and NETLOGON are listed and accessible.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-05	Task 2	Replication with BJ-DC02 is healthy enough for validation; domain time difference is not more than 5 minutes.	Run locally: repadmin /replsummary; w32tm /monitor	No blocking replication failures; time skew is within the requirement.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-06	Task 3	DNS zone nb-b4.local is AD-integrated and replicated between SHA-DC01 and BJ-DC02.	Run locally: Get-DnsServerZone -Name nb-b4.local; inspect replication scope.	Zone exists, is AD-integrated, and is visible on both DCs.	0.25
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-07	Task 3	Reverse lookup zones exist for 10.24.10.0/24, 10.24.20.0/24, 10.24.30.0/24, 10.34.20.0/24 and 10.34.30.0/24.	Run locally: Get-DnsServerZone; Resolve-DnsName <required IP addresses>	All required reverse zones exist and reverse lookup works for at least the specified server addresses.	0.15
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-08	Task 3	Required A/PTR records exist, including router records using internal addresses: sha-rtr01 → 10.24.20.1 and bj-rtr01 → 10.34.20.1.	Run locally: Resolve-DnsName sha-rtr01.nb-b4.local; Resolve-DnsName bj-rtr01.nb-b4.local; Resolve-DnsName server names and reverse IPs.	All required A and PTR records resolve to the addresses specified in the task.	0.25
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-09	Task 3	CNAME records sec-mgmt.nb-b4.local and eventlog.nb-b4.local are configured correctly.	Run locally: Resolve-DnsName sec-mgmt.nb-b4.local; Resolve-DnsName eventlog.nb-b4.local	sec-mgmt resolves to SHA-CL01 and eventlog resolves to BJ-SRV01.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-10	Task 4	DHCP server on SHA-DC01 is authorized in AD and hosts the Shanghai-ClientNet scope.	Run locally: Get-DhcpServerInDC; Get-DhcpServerv4Scope -ComputerName SHA-DC01	SHA-DC01 is authorized; scope 10.24.30.0/24 exists.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-11	Task 4	Shanghai DHCP scope options and exclusions match the task: range 10.24.30.100–200, exclusion 100–119, gateway 10.24.30.1, DNS 10.24.20.10/10.34.20.10, suffix nb-b4.local.	Run locally: Get-DhcpServerv4Scope; Get-DhcpServerv4OptionValue; Get-DhcpServerv4ExclusionRange	Scope configuration matches the stated values.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-12	Task 5	Required OU structure exists.	Run locally: Get-ADOrganizationalUnit -Filter * | select Name,DistinguishedName	00-Servers/Shanghai/Beijing, 10-Workstations/Shanghai/Beijing, 20-B4-Groups, 30-B4-TestUsers and 40-B4-ServiceAccounts exist.	0.15
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-13	Task 6	Required security groups exist in OU 20-B4-Groups with Global scope and Security category.	Run locally: Get-ADGroup GG_B4_* -Properties GroupScope,GroupCategory,DistinguishedName	All six required groups exist with the correct type; no extra group is used to bypass the access model.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-14	Task 6	Required users exist in OU 30-B4-TestUsers, are enabled, do not require password change at first logon, and do not have Password never expires enabled.	Run locally: Get-ADUser sec.admin1,helpdesk.b4,auditor.b4,user.sh01,user.bj01,blocked.admin -Properties Enabled,PasswordNeverExpires,pwdLastSet	All six users match the required account flags.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-15	Task 6	User group memberships match the task, including sec.admin1 membership in Domain Admins and blocked.admin only in GG_B4_No_Admin_Test.	Run locally: Get-ADPrincipalGroupMembership <user>; inspect each required account.	Memberships match the table and do not grant extra admin access to standard/no-admin users.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-16	Task 7	Domain account policy is configured: minimum password length 10, complexity enabled, max age 60 days, min age 0 days.	Run locally: net accounts /domain; Get-ADDefaultDomainPasswordPolicy	Values match the task; no Fine-Grained Password Policy is used for B4.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-17	Task 7	Account lockout policy is configured: threshold 5, duration 15 minutes, reset counter after 15 minutes.	Run locally: net accounts /domain; Get-ADDefaultDomainPasswordPolicy	Lockout settings match the task.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-18	Task 8	GPOs B4-Workstation-Local-Admins and B4-Server-Local-Admins exist, are linked to the correct OUs, and are not linked to Domain Controllers.	Run locally or from SHA-CL01 RSAT: Get-GPO; Get-GPInheritance -Target <OU DN>	GPOs are present and linked exactly to 10-Workstations and 00-Servers as required.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-19	Task 11	GPO B4-Advanced-Audit-Policy exists and is applied to servers, workstations and Domain Controllers.	Run locally or from SHA-CL01 RSAT: Get-GPO B4-Advanced-Audit-Policy; Get-GPInheritance	Audit GPO exists and targets the required containers.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-20	Task 11	Advanced Audit Policy on SHA-DC01 includes the required subcategories and command line logging for process creation.	Run locally: auditpol /get /category:*; gpresult /r; inspect Process Creation command line setting.	Required audit subcategories are enabled with correct Success/Failure values and command line logging is enabled.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-21	Task 11	Security log on SHA-DC01 is at least 256 MB and retention mode is Overwrite events as needed.	Run locally: wevtutil gl Security	MaxSize is at least 268435456 bytes and retention mode matches the task.	0.15
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-22	Tasks 9-12	Windows Firewall is enabled, management WinRM works from SHA-CL01, and SHA-DC01 is configured as a WEF source with Security log forwarding capability.	Run locally: Get-NetFirewallProfile; winrm enumerate winrm/config/listener; gpresult /r; inspect Subscription Manager policy.	Firewall is not disabled; required remoting and WEF source settings are present without opening management broadly.	0.20
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-23	Task 10	Microsoft Defender is not disabled on SHA-DC01.	Run locally: Get-MpComputerStatus; Get-MpPreference	Defender is present and real-time protection is not disabled on the root DC.	0.15
SHA-DC01	Root DC, DNS, DHCP for Shanghai Client, domain policy source	SHA-DC01-24	Task 5	SHA-WEB01 and SHA-APP01 are not joined to nb-b4.local and are not created as B4 domain computer accounts.	Run on SHA-DC01 or from RSAT: Get-ADComputer -Filter "Name -in ('SHA-WEB01','SHA-APP01')"; optionally verify local domain/workgroup state on those hosts.	No B4 domain computer accounts exist for SHA-WEB01 or SHA-APP01, unless pre-existing out-of-scope artifacts are explicitly documented by the expert.	0.10
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-01	Tasks 1-2	Hostname, static IP, gateway and DNS client settings are correct for BJ-DC02: 10.34.20.10/24, gateway 10.34.20.1, preferred DNS 10.34.20.10 after promotion, alternate DNS 10.24.20.10.	Run locally: hostname; Get-NetIPConfiguration	Network identity and DNS client order match the task after promotion.	0.25
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-02	Task 2	BJ-DC02 is promoted as an additional domain controller in nb-b4.local.	Run locally: Get-ADDomainController BJ-DC02; dcdiag /test:Advertising	BJ-DC02 is listed as a DC for nb-b4.local and advertises required services.	0.35
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-03	Task 2	BJ-DC02 is Global Catalog and has SYSVOL/NETLOGON shares.	Run locally: Get-ADDomainController BJ-DC02; net share	GC = True; SYSVOL and NETLOGON are available.	0.25
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-04	Task 2	Replication with SHA-DC01 is healthy enough for validation and time skew is within 5 minutes.	Run locally: repadmin /replsummary; w32tm /monitor	No blocking replication failures; time requirement is met.	0.25
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-05	Task 3	DNS zones, required records and CNAMEs are replicated and resolve correctly from BJ-DC02.	Run locally: Get-DnsServerZone; Resolve-DnsName sha-dc01.nb-b4.local; Resolve-DnsName eventlog.nb-b4.local; reverse lookups.	Forward and reverse lookups required by the task work locally on BJ-DC02.	0.30
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-06	Task 4	DHCP server on BJ-DC02 is authorized in AD and hosts the Beijing-ClientNet scope.	Run locally: Get-DhcpServerInDC; Get-DhcpServerv4Scope -ComputerName BJ-DC02	BJ-DC02 is authorized; scope 10.34.30.0/24 exists.	0.25
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-07	Task 4	Beijing DHCP scope options and exclusions match the task: range 10.34.30.100–200, exclusion 100–119, gateway 10.34.30.1, DNS 10.34.20.10/10.24.20.10, suffix nb-b4.local.	Run locally: Get-DhcpServerv4Scope; Get-DhcpServerv4OptionValue; Get-DhcpServerv4ExclusionRange	Scope configuration matches the stated values.	0.25
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-08	Tasks 9-12	Windows Firewall is enabled, WinRM management works from SHA-CL01, and BJ-DC02 is configured as a WEF source.	Run locally: Get-NetFirewallProfile; winrm enumerate winrm/config/listener; gpresult /r; inspect Subscription Manager policy.	Firewall is enabled; WinRM/WEF settings match the required model.	0.25
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-09	Task 10	Microsoft Defender is not disabled on BJ-DC02.	Run locally: Get-MpComputerStatus; Get-MpPreference	Defender is present and real-time protection is not disabled.	0.15
