CriterionID	SubCriterion	MaxMark	AspectDescription	HowToMark	Requirement
A1.1	A1	0.25	Hostname/FQDN всех VM соответствуют таблице хостов	"Выполнить:
for h in sh-gw-a1 sh-client-a1 sz-gw-a1 sz-client-a1 files-a1 id-a1 web-a1; do
  ssh root@$h 'hostname; hostname -f'
done"	Каждый hostname соответствует заданию. FQDN имеет домен orion.a1.test и не возвращает localhost/старое имя.
A1.2	A1	0.25	Часовой пояс, локаль и раскладка настроены на всех VM	"Выполнить:
for h in sh-gw-a1 sh-client-a1 sz-gw-a1 sz-client-a1 files-a1 id-a1 web-a1; do
  ssh root@$h 'timedatectl | grep ""Time zone""; localectl status'
done"	Time zone: Europe/Paris. Locale содержит en_US.UTF-8. Keyboard layout: us, где применимо.
A1.3	A1	0.5	IP-адресация IPv4/IPv6 соответствует таблице интерфейсов	"Выполнить:
for h in sh-gw-a1 sh-client-a1 sz-gw-a1 sz-client-a1 files-a1 id-a1 web-a1; do
  ssh root@$h 'hostname; ip -br address'
done"	Все интерфейсы имеют требуемые IPv4/IPv6 адреса и prefix length согласно таблице задания. Лишние конфликтующие адреса отсутствуют.
A1.4	A1	0.25	Default gateway на конечных хостах настроен корректно	"Выполнить:
ssh root@sh-client-a1 'ip route show default'
ssh root@sz-client-a1 'ip route show default'
ssh root@files-a1 'ip route show default'
ssh root@id-a1 'ip route show default'
ssh root@web-a1 'ip route show default'"	sh-client via 10.11.10.1; sz-client via 10.11.20.1; files via 10.11.30.1; id/web via 10.11.40.1.
A1.5	A1	0.5	Статические маршруты между Shanghai и Shenzhen настроены на gateway-серверах	"Выполнить:
ssh root@sh-gw-a1 'ip route get 10.11.20.20; ip route get 10.11.30.10; ip route get 10.11.40.10; ip route get 10.11.40.20'
ssh root@sz-gw-a1 'ip route get 10.11.10.20'"	sh-gw routes to Shenzhen networks via 198.51.100.20. sz-gw routes to SH-LAN via 198.51.100.10.
A1.6	A1	0.25	IPv4/IPv6 forwarding включён на обоих gateway-серверах	"Выполнить:
ssh root@sh-gw-a1 'sysctl net.ipv4.ip_forward net.ipv6.conf.all.forwarding'
ssh root@sz-gw-a1 'sysctl net.ipv4.ip_forward net.ipv6.conf.all.forwarding'"	На обоих gateway: net.ipv4.ip_forward = 1 и net.ipv6.conf.all.forwarding = 1.
A1.7	A1	0.5	IPv4-достижимость между площадками работает без NAT	"Выполнить:
ssh root@sh-client-a1 'ping -c2 10.11.40.10; ping -c2 10.11.40.20; ping -c2 10.11.30.10'
ssh root@sz-client-a1 'ping -c2 10.11.10.20'
Проверка сохранения source IP:
ssh root@web-a1 'timeout 8 tcpdump -ni any host 10.11.10.20 -c 2' &
ssh root@sh-client-a1 'curl -s http://10.11.40.20/'"	ICMP проходит между площадками. На web-a1 виден source IP 10.11.10.20, а не адрес gateway; NAT между внутренними сетями отсутствует.
A1.8	A1	0.25	IPv6-маршрутизация между площадками работает	"Выполнить:
ssh root@sh-client-a1 'ping -6 -c2 2001:db8:a1:40::10; ping -6 -c2 2001:db8:a1:40::20'
ssh root@sz-client-a1 'ping -6 -c2 2001:db8:a1:10::20'"	IPv6 ping между Shanghai и Shenzhen проходит по указанным префиксам.
A1.9	A1	0.25	Настройки адресации, маршрутов и forwarding сохраняются после reboot	"Перезагрузить sh-gw-a1, sz-gw-a1, sh-client-a1, sz-client-a1.
После восстановления выполнить:
ssh root@sh-client-a1 'ping -c2 10.11.40.10'
ssh root@sz-client-a1 'ping -c2 10.11.10.20'
ssh root@sh-gw-a1 'sysctl net.ipv4.ip_forward net.ipv6.conf.all.forwarding'
ssh root@sz-gw-a1 'sysctl net.ipv4.ip_forward net.ipv6.conf.all.forwarding'"	После reboot маршрутизация и forwarding работают без ручного восстановления.
A2.1	A2	0.25	BIND9 на id-a1 запущен и слушает 53/tcp, 53/udp	"Выполнить:
ssh root@id-a1 'systemctl is-active bind9 || systemctl is-active named'
ssh root@id-a1 'ss -lntup | grep -E "":53\b""'"	DNS service active/running. Порты 53/tcp и 53/udp доступны на id-a1.
A2.2	A2	0.25	Forward zone orion.a1.test обслуживает A-записи всех основных хостов	"Выполнить:
for n in sh-client-a1 sz-client-a1 files-a1 id-a1 web-a1; do
  dig @10.11.40.10 $n.orion.a1.test A +short
done"	Каждое имя возвращает ожидаемый IPv4 адрес: sh-client 10.11.10.20, sz-client 10.11.20.20, files 10.11.30.10, id 10.11.40.10, web 10.11.40.20.
A2.3	A2	0.25	Forward zone обслуживает AAAA-записи всех основных хостов	"Выполнить:
for n in sh-client-a1 sz-client-a1 files-a1 id-a1 web-a1; do
  dig @10.11.40.10 $n.orion.a1.test AAAA +short
done"	Каждое имя возвращает ожидаемый IPv6 адрес из таблицы задания.
A2.4	A2	0.25	DNS для multi-interface gateway-хостов однозначен и проверяем	"Выполнить:
dig @10.11.40.10 sh-gw-a1.orion.a1.test A +short
dig @10.11.40.10 sh-gw-wan-a1.orion.a1.test A +short
dig @10.11.40.10 sz-gw-a1.orion.a1.test A +short
dig @10.11.40.10 sz-gw-wan-a1.orion.a1.test A +short
dig @10.11.40.10 sz-gw-files-a1.orion.a1.test A +short
dig @10.11.40.10 sz-gw-srv-a1.orion.a1.test A +short"	Interface-specific names возвращают соответствующие адреса: 10.11.10.1, 198.51.100.10, 10.11.20.1, 198.51.100.20, 10.11.30.1, 10.11.40.1.
A2.5	A2	0.5	IPv4 PTR-записи настроены для всех IPv4-адресов оцениваемых хостов	"Выполнить:
for ip in 10.11.10.20 10.11.20.20 10.11.30.10 10.11.40.10 10.11.40.20 198.51.100.10 198.51.100.20; do
  dig @10.11.40.10 -x $ip +short
done"	Каждый IPv4 адрес возвращает ожидаемое имя. IPv6 PTR в A1 не оцениваются.
A2.6	A2	0.5	CNAME-записи dns/ldap/ca/files/www настроены корректно	"Выполнить:
for n in dns ldap ca files www; do
  dig @10.11.40.10 $n.orion.a1.test CNAME +short
done"	dns/ldap/ca указывают на id-a1.orion.a1.test.; files на files-a1.orion.a1.test.; www на web-a1.orion.a1.test.
A2.7	A2	0.25	SRV-запись LDAP настроена корректно	"Выполнить:
dig @10.11.40.10 _ldap._tcp.orion.a1.test SRV +short"	Вывод содержит: 0 100 389 id-a1.orion.a1.test.
A2.8	A2	0.25	DNS-рекурсия разрешена внутренним сетям и запрещена WAN-сегменту как open resolver	"Позитивная проверка:
ssh root@sz-client-a1 'dig @10.11.40.10 id-a1.orion.a1.test A +short'
Негативная проверка с WAN-source:
ssh root@sh-gw-a1 'dig @10.11.40.10 example.com A +time=2 +tries=1 -b 198.51.100.10 || true'"	Внутренние клиенты получают ответы. Запрос рекурсии с WAN-source не должен успешно рекурсивно разрешать внешние имена.
A2.9	A2	0.25	Клиенты используют id-a1 как DNS resolver	"Выполнить:
for h in sh-client-a1 sz-client-a1 files-a1 web-a1; do
  ssh root@$h 'cat /etc/resolv.conf; getent hosts www.orion.a1.test'
done"	resolv.conf или systemd-resolved указывает на id-a1/10.11.40.10. getent hosts www.orion.a1.test возвращает адрес web-a1.
A2.10	A2	0.25	DNS-сервис и зоны сохраняются после reboot id-a1	"Перезагрузить id-a1. После восстановления:
dig @10.11.40.10 www.orion.a1.test A +short
dig @10.11.40.10 _ldap._tcp.orion.a1.test SRV +short"	После reboot BIND9 работает, forward и SRV records доступны.
