CriterionID	Subsection	Description	MaxMark	RunFrom	Commands	ExpectedResult	Notes
A1.01	Foundation, routing, WireGuard and DHCP	Required hostnames are configured on all seven nodes.	0.25	sh-edge-a6, sh-user-a6, sz-edge-a6, ops-a6, services-a6, directory-a6 and network-a6	Source: each node. Run `hostname`. Expected: exact hostname assigned to that role.	sh-edge-a6, sh-user-a6, sz-edge-a6, ops-a6, services-a6, directory-a6, network-a6.	No additional note.
A1.02	Foundation, routing, WireGuard and DHCP	Static network configuration and default gateways are correct and persistent.	0.5	gateways and servers	Source: gateways and servers. Run `ip -br -4 addr`, `ip route`; inspect the active persistent network backend. Restart the network service only if safe. Expected: exact addresses/prefixes and required default routes, no unintended default route.	All gateway/server IPv4 addresses match the task. services-a6 default via 10.76.30.1; directory-a6 and network-a6 default via 10.76.40.1. Configuration survives service restart/reboot.	No additional note.
A1.03	Foundation, routing, WireGuard and DHCP	Both client addresses are obtained by DHCP, not statically configured.	0.25	sh-user-a6 and ops-a6	Source: both clients. Run `ip -4 addr`; inspect network profile and DHCP lease state. Expected: reserved address present and no static address workaround.	sh-user-a6=10.76.10.100 and ops-a6=10.76.20.100; persistent client profile uses DHCP.	No additional note.
A1.04	Foundation, routing, WireGuard and DHCP	IPv4 forwarding and private routing are configured on both site gateways.	0.25	sh-edge-a6 and sz-edge-a6	Source: sh-edge-a6 and sz-edge-a6. Run `sysctl net.ipv4.ip_forward` and `ip route`. Expected: forwarding=1 and required routes present.	net.ipv4.ip_forward=1 persistently. Each gateway has routes required for its local/private networks.	No additional note.
A1.05	Foundation, routing, WireGuard and DHCP	WireGuard addressing, endpoints and AllowedIPs match the task.	0.25	sh-edge-a6 and sz-edge-a6	Source: both gateways. Run `ip -4 addr show wg0` and `wg show`. Expected: exact tunnel addresses, endpoint/listen port, and restricted AllowedIPs.	wg0: 10.200.6.1/30 and 10.200.6.2/30; endpoint uses peer WAN address and UDP/51820; AllowedIPs contain only remote private prefixes; 0.0.0.0/0 is absent.	No additional note.
A1.06	Foundation, routing, WireGuard and DHCP	WireGuard tunnel is operational and automatically starts.	0.5	sh-edge-a6	Source: sh-edge-a6. Send traffic to 10.200.6.2, then immediately run `wg show`. Expected: latest handshake <=120 seconds. On both gateways run `systemctl is-active wg-quick@wg0` and `systemctl is-enabled wg-quick@wg0`; both succeed.	A fresh handshake is produced on demand and wg-quick@wg0 is active/enabled.	No additional note.
A1.07	Foundation, routing, WireGuard and DHCP	Shanghai-to-Shenzhen private application traffic uses wg0.	0.25	sh-edge-a6	Source: sh-edge-a6. Run `ip route get 10.76.30.10` and `ip route get 10.76.40.20`. Expected: route via wg0. Confirm one private service connection from sh-user-a6 while observing `tcpdump -ni wg0`.	Routes to Shenzhen private prefixes use WireGuard; public WAN destination is not used for private service access.	No additional note.
A1.08	Foundation, routing, WireGuard and DHCP	Kea scopes, reservations and options match the task.	0.25	network-a6	Source: network-a6. Run `kea-dhcp4 -t /etc/kea/kea-dhcp4.conf` and inspect the loaded config. Expected: valid config with both scopes/reservations/options exactly as specified.	Pools: 10.76.10.110-149 and 10.76.20.110-149. Reservations: .100 for sh-user/ops. Options: correct router, DNS 10.76.40.10 + 10.76.40.20, domain nova.a6.test.	No additional note.
A1.09	Foundation, routing, WireGuard and DHCP	DHCP relay and real renew/rebind work on both sites.	0.5	gateways/network-a6/clients	Source: gateways/network-a6/clients. On sh-edge-a6 run `ip route get 10.76.40.20` -> wg0. Restart Kea, perform a real DHCP renew/rebind on both clients, then re-check address, default route, both DNS servers and search domain. Expected: all values restored correctly.	Both gateways relay DHCP; Shanghai relay reaches network-a6 through wg0. After Kea restart, both clients renew/rebind and retain reservations/options.	Do not award for a client that merely retains an old lease without a real renew/rebind.
B1.01	DNS authoritative service and resilience	Primary authoritative DNS contains the complete required forward-zone data.	0.5	internal client	Source: internal client. Query directory-a6 directly with `dig` for SOA/NS, every required A record, MX and `_ldap._tcp` SRV. Expected: authoritative answers and exact values. This aspect is all-or-nothing; use B1.02/B1.03 for separate secondary/reverse checks.	directory-a6 is authoritative for nova.a6.test. Required host A records, aliases/public-style names, MX and LDAP SRV return the task-defined values.	No additional note.
B1.02	DNS authoritative service and resilience	Secondary authoritative DNS is loaded and synchronized.	0.25	network-a6	Source: network-a6. Run `dig @127.0.0.1 nova.a6.test SOA +noall +answer +comments` and compare serial with primary. Expected: authoritative response and matching serial.	network-a6 serves nova.a6.test as secondary with the same SOA serial as directory-a6.	No additional note.
B1.03	DNS authoritative service and resilience	Required reverse zones and PTR records are correct.	0.25	internal client	Source: internal client. Run `dig -x` for 10.76.10.100, 10.76.20.100, 10.76.30.10, 10.76.40.10, 10.76.40.20 against the authoritative DNS servers. Expected: correct FQDN PTR values.	PTR records exist for sh-user-a6, ops-a6, services-a6, directory-a6 and network-a6 and are served authoritatively.	No additional note.
