HostKey	AspectID	TaskRef	Category	Requirement	VerificationCommands	ExpectedResult	AwardGuidance	MaxMark
ISP-SHA01	A-ISP-SHA01-01	Task 1	A. Base networking, simulated Internet, DMZ and routing	Hostname, IP addresses and IP forwarding configured on ISP-SHA01.	hostname; ipconfig /all; Get-NetIPInterface | ? Forwarding -eq Enabled	Hostname ISP-SHA01; interfaces 198.18.200.1/24, 198.18.150.1/24, 203.0.113.18/30; forwarding enabled.	Award only if all required interfaces are present and forwarding is enabled.	0.25
ISP-SHA01	A-ISP-SHA01-02	Task 1	A. Base networking, simulated Internet, DMZ and routing	Static routes on ISP-SHA01 cover Shanghai corporate networks, Beijing networks and Internet ClientNet.	route print; Get-NetRoute	Routes to 10.25.10.0/24, 10.25.20.0/24, 10.25.30.0/24 via 198.18.150.10; routes to 10.35.20.0/24, 10.35.30.0/24, 198.18.201.0/24 via 203.0.113.17.	Award if all specified routes use the correct next-hop.	0.25
ISP-BJ01	A-ISP-BJ01-01	Task 1	A. Base networking, simulated Internet, DMZ and routing	Hostname, IP addresses and IP forwarding configured on ISP-BJ01.	hostname; ipconfig /all; Get-NetIPInterface | ? Forwarding -eq Enabled	Hostname ISP-BJ01; interfaces 198.18.201.1/24, 198.18.151.1/24, 203.0.113.17/30; forwarding enabled.	Award only if all required interfaces are present and forwarding is enabled.	0.25
ISP-BJ01	A-ISP-BJ01-02	Task 1	A. Base networking, simulated Internet, DMZ and routing	Static routes on ISP-BJ01 cover Beijing corporate networks, Shanghai networks and Internet ServiceNet.	route print; Get-NetRoute	Routes to 10.35.20.0/24 and 10.35.30.0/24 via 198.18.151.10; routes to 10.25.10.0/24, 10.25.20.0/24, 10.25.30.0/24, 198.18.200.0/24 via 203.0.113.18.	Award if all specified routes use the correct next-hop.	0.25
INET-SRV01	A-INET-SRV01-01	Task 2	A. Base networking, simulated Internet, DMZ and routing	INET-SRV01 baseline addressing and workgroup state are correct.	hostname; ipconfig /all; (Get-WmiObject Win32_ComputerSystem).PartOfDomain	Hostname INET-SRV01; IP 198.18.200.10/24; gateway 198.18.200.1; PartOfDomain=False.	Award if host is not domain joined and can route via ISP-SHA01.	0.20
INET-SRV01	A-INET-SRV01-02	Task 2	A. Base networking, simulated Internet, DMZ and routing	INET-SRV01 firewall is enabled and prohibited domain/enterprise roles are not installed.	Get-NetFirewallProfile; Get-WindowsFeature AD-Domain-Services,DNS,DHCP,Web-Server	All firewall profiles enabled; AD DS, DNS, DHCP and IIS/Web-Server are not installed.	Do not penalize unrelated default client/server features that are not used as B5 roles.	0.15
INET-CL01	A-INET-CL01-01	Task 2	A. Base networking, simulated Internet, DMZ and routing	INET-CL01 baseline addressing and workgroup state are correct.	hostname; ipconfig /all; (Get-WmiObject Win32_ComputerSystem).PartOfDomain	Hostname INET-CL01; IP 198.18.201.10/24; gateway 198.18.201.1; PartOfDomain=False.	Award if host is not domain joined and can route via ISP-BJ01.	0.20
INET-CL01	A-INET-CL01-02	Task 2	A. Base networking, simulated Internet, DMZ and routing	INET-CL01 firewall is enabled and it is not affected by nb-b5.local domain policies.	Get-NetFirewallProfile; gpresult /r; systeminfo | findstr /B /C:"Domain"	All firewall profiles enabled; host is in workgroup and not in nb-b5.local.	Award if no B5 domain join or domain policy application is visible.	0.15
SHA-RTR01	A-SHA-RTR01-01	Task 1	A. Base networking, simulated Internet, DMZ and routing	SHA-RTR01 hostname, interfaces and IP forwarding are configured.	hostname; ipconfig /all; Get-NetIPInterface | ? Forwarding -eq Enabled	Hostname SHA-RTR01; IPs 198.18.150.10/24, 10.25.10.1/24, 10.25.20.1/24, 10.25.30.1/24; forwarding enabled.	All Shanghai corporate and WAN interfaces must be correct.	0.25
SHA-RTR01	A-SHA-RTR01-02	Task 1	A. Base networking, simulated Internet, DMZ and routing	SHA-RTR01 static routes point remote Beijing and simulated Internet networks to ISP-SHA01.	route print; Get-NetRoute	Routes to 10.35.20.0/24, 10.35.30.0/24, 198.18.200.0/24 and 198.18.201.0/24 via 198.18.150.1.	Award if routes are persistent or present at marking time.	0.25
